,asset,time,AdrActCnt,HashRate,ReferenceRateUSD,TxCnt
85,btc,2019-11-05T00:00:00.000000000Z,782184,98007431.66671602,9418.36013062537,335704
86,btc,2019-11-06T00:00:00.000000000Z,831199,89840145.69448967,9330.78722296902,310101
87,btc,2019-11-07T00:00:00.000000000Z,799136,91495629.00498703,9354.93338229106,331125
88,btc,2019-11-08T00:00:00.000000000Z,728522,80936306.11613324,9210.74822238457,312840
89,btc,2019-11-09T00:00:00.000000000Z,709807,91053344.3806499,8791.33393495032,296119
90,btc,2019-11-10T00:00:00.000000000Z,594556,104964271.99436028,8810.78456195208,305653
91,btc,2019-11-11T00:00:00.000000000Z,704180,95479548.62137593,9042.89072320281,327772
92,btc,2019-11-12T00:00:00.000000000Z,682025,85362510.35685928,8713.20792957335,301363
93,btc,2019-11-13T00:00:00.000000000Z,746140,85362510.35685928,8788.95814295734,316690
94,btc,2019-11-14T00:00:00.000000000Z,746968,106861216.66895717,8766.72943050848,346544
95,btc,2019-11-15T00:00:00.000000000Z,779428,99905752.86210199,8645.43580362361,328438
96,btc,2019-11-16T00:00:00.000000000Z,666406,93582603.94677904,8465.87788854471,280324
97,btc,2019-11-17T00:00:00.000000000Z,598140,97376493.29597281,8477.69024284044,267492
98,btc,2019-11-18T00:00:00.000000000Z,696269,88524084.81452073,8505.16122326125,306782
99,btc,2019-11-19T00:00:00.000000000Z,823018,92950289.05524676,8183.53341350088,325197
100,btc,2019-11-20T00:00:00.000000000Z,702168,89788714.59758532,8116.82067258913,320826
101,btc,2019-11-21T00:00:00.000000000Z,803455,87206195.79641934,8076.55466008182,326131
102,btc,2019-11-22T00:00:00.000000000Z,790198,85127203.65307556,7612.2774880187,303688
103,btc,2019-11-23T00:00:00.000000000Z,681817,111568229.03016719,7277.52427323203,312324
104,btc,2019-11-24T00:00:00.000000000Z,557217,84482300.59509772,7324.83617855056,264419
105,btc,2019-11-25T00:00:00.000000000Z,678695,80612882.24723066,6943.38065604909,283328
106,btc,2019-11-26T00:00:00.000000000Z,784964,78678173.07329711,7139.04468597312,319461
107,btc,2019-11-27T00:00:00.000000000Z,812540,89641525.05892047,7165.43773027469,312560
108,btc,2019-11-28T00:00:00.000000000Z,716192,105119198.45038874,7526.86381654004,316000
109,btc,2019-11-29T00:00:00.000000000Z,730014,87706815.88498695,7436.3363817066,305085
110,btc,2019-11-30T00:00:00.000000000Z,683831,81257785.3052085,7747.73804208066,284912
111,btc,2019-12-01T00:00:00.000000000Z,593329,89641525.05892047,7556.19372121567,268135
112,btc,2019-12-02T00:00:00.000000000Z,749060,93510943.40678756,7417.72720601987,318601
113,btc,2019-12-03T00:00:00.000000000Z,744688,101894683.16049953,7318.31252180012,333969
114,btc,2019-12-04T00:00:00.000000000Z,749562,107698810.68230015,7306.44623331385,332204
115,btc,2019-12-05T00:00:00.000000000Z,746859,93362398.66941905,7215.02034482759,319133
116,btc,2019-12-06T00:00:00.000000000Z,748047,92816137.37716064,7404.0867949737,311069
117,btc,2019-12-07T00:00:00.000000000Z,642350,99217250.29972345,7534.2083559322,282629
118,btc,2019-12-08T00:00:00.000000000Z,587017,94736471.25392947,7512.06140263004,278763
119,btc,2019-12-09T00:00:00.000000000Z,803439,94736471.25392947,7528.94026943308,316995
